Date,Close,Open,High,Low,Change
March 2000,0.9562,0.9645,0.9796,0.9478,-0.88
April 2000,0.9123,0.9562,0.9752,0.9029,-4.59
May 2000,0.9379,0.912,0.9412,0.8845,2.81
June 2000,0.9526,0.9371,0.9703,0.9284,1.57
July 2000,0.9263,0.9526,0.9601,0.9191,-2.76
August 2000,0.8888,0.9265,0.9293,0.8839,-4.05
September 2000,0.8839,0.8887,0.904,0.8439,-0.55
October 2000,0.8493,0.8842,0.886,0.8228,-3.91
November 2000,0.8724,0.8486,0.8798,0.8372,2.72
December 2000,0.9424,0.8724,0.9427,0.87,8.02
January 2001,0.9365,0.9425,0.9597,0.9112,-0.63
February 2001,0.9234,0.9374,0.9448,0.9016,-1.40
March 2001,0.8778,0.9239,0.9384,0.8752,-4.94
April 2001,0.8881,0.8743,0.9093,0.8695,1.17
May 2001,0.8459,0.8892,0.901,0.844,-4.75
June 2001,0.85,0.8448,0.8675,0.841,0.48
July 2001,0.8762,0.8506,0.8824,0.8346,3.08
August 2001,0.9124,0.8763,0.9242,0.8735,4.13
September 2001,0.9117,0.9102,0.9336,0.8823,-0.08
October 2001,0.8998,0.9103,0.9246,0.8867,-1.31
November 2001,0.8965,0.9008,0.9123,0.8737,-0.37
December 2001,0.8909,0.8962,0.9087,0.8742,-0.62
January 2002,0.8585,0.8896,0.9069,0.8571,-3.64
February 2002,0.8686,0.8588,0.8803,0.8562,1.18
March 2002,0.8718,0.8689,0.8871,0.8629,0.37
April 2002,0.9002,0.8711,0.9047,0.8711,3.26
May 2002,0.9339,0.9006,0.9421,0.8992,3.74
June 2002,0.9918,0.9327,0.9992,0.93,6.20
July 2002,0.9775,0.9915,1.0214,0.9715,-1.44
August 2002,0.982,0.9764,0.992,0.9621,0.46
September 2002,0.9868,0.9815,0.9993,0.9603,0.49
October 2002,0.9907,0.9868,0.9928,0.9687,0.40
November 2002,0.9946,0.9909,1.0173,0.9873,0.39
December 2002,1.0501,0.9946,1.0507,0.9859,5.58
January 2003,1.0769,1.0493,1.0909,1.0334,2.55
February 2003,1.0798,1.0787,1.0941,1.0664,0.27
March 2003,1.0924,1.0778,1.1087,1.0501,1.17
April 2003,1.1183,1.0922,1.1189,1.056,2.37
May 2003,1.1787,1.1183,1.1935,1.1152,5.40
June 2003,1.1511,1.1713,1.1934,1.1397,-2.34
July 2003,1.1231,1.1526,1.1613,1.1113,-2.43
August 2003,1.098,1.123,1.143,1.0792,-2.23
September 2003,1.166,1.0986,1.1739,1.0762,6.19
October 2003,1.1584,1.1661,1.1862,1.1532,-0.65
November 2003,1.1994,1.1581,1.2017,1.1377,3.54
December 2003,1.2588,1.1976,1.2649,1.1936,4.95
January 2004,1.2469,1.2549,1.2901,1.2334,-0.95
February 2004,1.249,1.2473,1.293,1.2373,0.17
March 2004,1.2315,1.2488,1.2543,1.2049,-1.40
April 2004,1.1982,1.2316,1.2392,1.1762,-2.70
May 2004,1.2186,1.1995,1.2298,1.1772,1.70
June 2004,1.2187,1.2186,1.2353,1.1952,0.01
July 2004,1.202,1.2189,1.2464,1.1992,-1.37
August 2004,1.2188,1.2071,1.2389,1.197,1.40
September 2004,1.2432,1.218,1.2445,1.2023,2.00
