Date,Close,Open,High,Low,Change
"January 02, 2000",1.0292,1.0052,1.0417,1.005,2.15
"January 09, 2000",1.0128,1.0288,1.037,1.0111,-1.59
"January 16, 2000",1.0091,1.0128,1.0193,1.0049,-0.37
"January 23, 2000",0.975,1.0026,1.0101,0.9738,-3.38
"January 30, 2000",0.9828,0.9779,0.9949,0.9662,0.8
"February 06, 2000",0.9869,0.9839,0.9969,0.9757,0.42
"February 13, 2000",0.9865,0.9864,0.9959,0.9764,-0.04
"February 20, 2000",0.9745,0.9848,1.0091,0.9723,-1.22
"February 27, 2000",0.9599,0.9748,0.9866,0.9392,-1.5
"March 05, 2000",0.963,0.9576,0.9702,0.9521,0.32
"March 12, 2000",0.9724,0.9627,0.9743,0.9596,0.98
"March 19, 2000",0.9771,0.9727,0.9778,0.9575,0.48
"March 26, 2000",0.9562,0.977,0.9789,0.9478,-2.14
"April 02, 2000",0.9549,0.9562,0.9752,0.9502,-0.14
"April 09, 2000",0.9623,0.9546,0.965,0.9509,0.77
"April 16, 2000",0.9383,0.9644,0.9673,0.9348,-2.49
"April 23, 2000",0.9123,0.9384,0.9451,0.9029,-2.77
"April 30, 2000",0.8969,0.912,0.9177,0.8846,-1.69
"May 07, 2000",0.9199,0.8964,0.9201,0.8914,2.56
"May 14, 2000",0.8974,0.9177,0.9194,0.8845,-2.45
"May 21, 2000",0.9312,0.8975,0.9344,0.8953,3.77
"May 28, 2000",0.9465,0.9324,0.9506,0.9235,1.64
"June 04, 2000",0.9532,0.9465,0.9705,0.9412,0.71
"June 11, 2000",0.9648,0.9526,0.966,0.9489,1.22
"June 18, 2000",0.936,0.9637,0.9697,0.9339,-2.99
"June 25, 2000",0.9526,0.9363,0.9603,0.9296,1.77
"July 02, 2000",0.9484,0.9524,0.9599,0.946,-0.44
"July 09, 2000",0.9383,0.9482,0.9567,0.9315,-1.06
"July 16, 2000",0.937,0.9382,0.9401,0.919,-0.14
"July 23, 2000",0.9234,0.9364,0.9451,0.9223,-1.45
"July 30, 2000",0.9081,0.9237,0.9295,0.8993,-1.66
"August 06, 2000",0.9025,0.9073,0.9146,0.8962,-0.62
"August 13, 2000",0.9065,0.9038,0.9187,0.8997,0.44
"August 20, 2000",0.9022,0.9071,0.9078,0.8907,-0.47
"August 27, 2000",0.8998,0.9024,0.9045,0.884,-0.27
"September 03, 2000",0.8662,0.8998,0.9041,0.8632,-3.73
"September 10, 2000",0.8536,0.8644,0.8741,0.8528,-1.45
