"keyName","ACP","Open","High","Low","Close","Annual_Change","Date"
2000,0.92,1.01,1.03,0.83,0.94,-6.6,2000-01-01
2001,0.9,0.95,0.96,0.84,0.89,-5.56,2001
2002,0.95,0.9,1.05,0.86,1.05,17.86,2002
2003,1.13,1.04,1.26,1.04,1.26,20.09,2003
2004,1.24,1.26,1.36,1.18,1.36,7.61,2004
2005,1.24,1.35,1.35,1.17,1.18,-12.59,2005
2006,1.26,1.2,1.33,1.18,1.32,11.43,2006
2007,1.37,1.32,1.49,1.29,1.46,10.52,2007
2008,1.47,1.47,1.6,1.25,1.4,-4.19,2008
2009,1.39,1.39,1.51,1.25,1.43,2.47,2009
2010,1.33,1.44,1.45,1.19,1.34,-6.66,2010
2011,1.39,1.34,1.48,1.29,1.29,-3.2,2011
2012,1.29,1.3,1.35,1.21,1.32,1.92,2012
2013,1.33,1.32,1.38,1.28,1.38,4.26,2013
2014,1.33,1.37,1.39,1.21,1.21,-12.02,2014
2015,1.11,1.2,1.2,1.05,1.09,-10.21,2015
2016,1.11,1.09,1.15,1.04,1.05,-3.18,2016
2017,1.13,1.05,1.2,1.04,1.2,14.15,2017
2018,1.18,1.2,1.25,1.12,1.15,-4.36,2018
2019,1.12,1.15,1.15,1.09,1.12,-2.26,2019
2020,1.14,1.12,1.23,1.07,1.22,8.86,2020
2021,1.21,1.21,1.23,1.18,1.19,-2.52,"2021-01-01"
