DATE,HOUR,OPEN,HIGH,LOW,CLOSE
1971.01.04,00:00,0.5369,0.5369,0.5369,0.5369
1971.01.05,00:00,0.5366,0.5366,0.5366,0.5366
1971.01.06,00:00,0.5365,0.5365,0.5365,0.5365
1971.01.07,00:00,0.5368,0.5368,0.5368,0.5368
1971.01.08,00:00,0.5371,0.5371,0.5371,0.5371
1971.01.11,00:00,0.5371,0.5371,0.5371,0.5371
1971.01.12,00:00,0.5371,0.5371,0.5371,0.5371
1971.01.13,00:00,0.5373,0.5373,0.5373,0.5373
1971.01.14,00:00,0.5372,0.5372,0.5372,0.5372
1971.01.15,00:00,0.5376,0.5376,0.5376,0.5376
1971.01.18,00:00,0.5379,0.5379,0.5379,0.5379
1971.01.19,00:00,0.5377,0.5377,0.5377,0.5377
1971.01.20,00:00,0.5381,0.5381,0.5381,0.5381
1971.01.21,00:00,0.5383,0.5383,0.5383,0.5383
1971.01.22,00:00,0.5386,0.5386,0.5386,0.5386
1971.01.25,00:00,0.5385,0.5385,0.5385,0.5385
1971.01.26,00:00,0.5388,0.5388,0.5388,0.5388
1971.01.27,00:00,0.5386,0.5386,0.5386,0.5386
1971.01.28,00:00,0.5387,0.5387,0.5387,0.5387
1971.01.29,00:00,0.5387,0.5387,0.5387,0.5387
1971.02.01,00:00,0.5386,0.5386,0.5386,0.5386
1971.02.02,00:00,0.5386,0.5386,0.5386,0.5386
1971.02.03,00:00,0.5386,0.5386,0.5386,0.5386
1971.02.04,00:00,0.5389,0.5389,0.5389,0.5389
1971.02.05,00:00,0.5384,0.5384,0.5384,0.5384
1971.02.08,00:00,0.5385,0.5385,0.5385,0.5385
1971.02.09,00:00,0.5386,0.5386,0.5386,0.5386
1971.02.10,00:00,0.5384,0.5384,0.5384,0.5384
1971.02.11,00:00,0.5381,0.5381,0.5381,0.5381
1971.02.16,00:00,0.5385,0.5385,0.5385,0.5385
1971.02.17,00:00,0.5387,0.5387,0.5387,0.5387
1971.02.18,00:00,0.5384,0.5384,0.5384,0.5384
1971.02.19,00:00,0.5385,0.5385,0.5385,0.5385
1971.02.22,00:00,0.5388,0.5388,0.5388,0.5388
1971.02.23,00:00,0.5387,0.5387,0.5387,0.5387
1971.02.24,00:00,0.5389,0.5389,0.5389,0.5389
1971.02.25,00:00,0.5385,0.5385,0.5385,0.5385
1971.02.26,00:00,0.5379,0.5379,0.5379,0.5379
1971.03.01,00:00,0.5383,0.5383,0.5383,0.5383
1971.03.02,00:00,0.5386,0.5386,0.5386,0.5386
1971.03.03,00:00,0.539,0.539,0.539,0.539
1971.03.04,00:00,0.5382,0.5382,0.5382,0.5382
1971.03.05,00:00,0.5386,0.5386,0.5386,0.5386
1971.03.08,00:00,0.5385,0.5385,0.5385,0.5385
1971.03.09,00:00,0.5388,0.5388,0.5388,0.5388
1971.03.10,00:00,0.5385,0.5385,0.5385,0.5385
1971.03.11,00:00,0.5384,0.5384,0.5384,0.5384
1971.03.12,00:00,0.5385,0.5385,0.5385,0.5385
1971.03.15,00:00,0.5384,0.5384,0.5384,0.5384
1971.03.16,00:00,0.5384,0.5384,0.5384,0.5384
1971.03.17,00:00,0.5386,0.5386,0.5386,0.5386
1971.03.18,00:00,0.5386,0.5386,0.5386,0.5386
1971.03.19,00:00,0.5387,0.5387,0.5387,0.5387
1971.03.22,00:00,0.5387,0.5387,0.5387,0.5387
